team,elo,form,avg_gf,avg_ga,xg,xga,squad_rating
Iceland,1568,0.5454545454545454,1.1,2.2,1.1,2.2,74.08695652173913
Guatemala,1505,0.7818181818181819,1.0,2.4,1.0,2.4,61.68421052631579
England,2046,1.9636363636363636,,,,,87.34782608695652
France,2143,2.2363636363636363,,,,,90.52173913043478
Spain,2159,1.9454545454545455,,,,,86.78260869565217
Georgia,1654,1.3818181818181818,1.4,1.8,1.4,1.8,76.56521739130434
Estonia,1360,1.6,1.0,1.8,1.0,1.8,66.56521739130434
Germany,1908,2.1454545454545455,3.1,1.0,3.1,1.0,89.1304347826087
Greece,1744,0.7454545454545455,1.2,1.6,1.2,1.6,78.95652173913044
Senegal,1816,1.0363636363636364,1.8,1.6,1.8,1.6,87.47826086956522
Hungary,1710,2.090909090909091,1.7,1.2,1.7,1.2,82.78260869565217
Russia,1772,1.8909090909090909,1.9,0.7,1.9,0.7,78.08695652173913
Italy,1869,2.381818181818182,2.4,1.0,2.4,1.0,87.17391304347827
Kazakhstan,1428,1.309090909090909,1.1,1.4,1.1,1.4,68.0
Moldova,1270,0.41818181818181815,0.9,3.2,0.9,3.2,70.0
Luxembourg,1450,0.5818181818181818,0.2,1.5,0.2,1.5,73.17391304347827
Macedonia,1589,0.6363636363636364,0.8,1.8,0.8,1.8,77.65217391304348
Montenegro,1461,1.5454545454545454,1.3,2.0,1.3,2.0,80.43478260869566
Malta,1255,1.2181818181818183,1.1,2.3,1.1,2.3,68.78260869565217
New Zealand,1534,0.43636363636363634,1.0,2.3,1.0,2.3,73.65217391304348
Botswana,1267,0.6909090909090909,0.6,1.8,0.6,1.8,65.0
Netherlands,1971,1.9272727272727272,2.1,1.0,2.1,1.0,87.52173913043478
DR Congo,1704,1.1454545454545455,1.2,0.8,1.2,0.8,77.1304347826087
Bulgaria,1458,1.3272727272727274,1.6,2.4,1.6,2.4,70.0
Portugal,2013,1.8727272727272728,,,,,88.56521739130434
Romania,1639,1.4545454545454546,1.6,1.5,1.6,1.5,77.17391304347827
Israel,1647,1.6,1.9,1.7,1.9,1.7,75.73913043478261
Scotland,1745,1.3636363636363635,1.7,1.3,1.7,1.3,83.1304347826087
Czechia,1680,1.309090909090909,2.1,1.4,2.1,1.4,82.34782608695652
Slovakia,1667,1.7636363636363637,1.5,1.5,1.5,1.5,82.73913043478261
Norway,1934,1.6181818181818182,,,,,84.47826086956522
Slovenia,1682,0.8545454545454545,0.8,1.4,0.8,1.4,84.91304347826087
Namibia,1500,0.4909090909090909,0.7,1.6,0.7,1.6,73.04347826086956
Switzerland,1943,2.1454545454545455,2.2,1.1,2.2,1.1,83.8695652173913
Uruguay,1841,0.9090909090909091,0.8,1.1,0.8,1.1,83.95652173913044
Uganda,1394,1.0,1.4,1.5,1.4,1.5,69.82608695652173
Turkey,1852,1.9636363636363636,1.9,0.9,1.9,0.9,81.43478260869566
Uzbekistan,1631,0.45454545454545453,1.0,1.8,1.0,1.8,72.69565217391305
Wales,1682,1.0909090909090908,1.5,1.4,1.5,1.4,79.04347826086956
Niger,1382,0.8909090909090909,0.9,1.3,0.9,1.3,68.0
Padania,1500,1.3818181818181818,2.5,0.9,2.5,0.9,65.0
Provence,1500,1.2,5.5,2.0,5.5,2.0,65.0
Alderney,1500,0.6,0.9,3.2,0.9,3.2,65.0
Jersey,1500,2.1272727272727274,2.7,1.0,2.7,1.0,65.0
Faroe Islands,1386,2.0727272727272728,1.4,0.8,1.4,0.8,62.69565217391305
Martinique,1312,0.5818181818181818,0.6,1.2,0.6,1.2,65.0
Haiti,1517,0.6909090909090909,1.1,1.5,1.1,1.5,68.47826086956522
Paraguay,1814,1.2363636363636363,,,,,76.95652173913044
Occitania,1500,2.272727272727273,3.3,0.6,3.3,0.6,65.0
Monaco,903,1.290909090909091,1.3,2.9,1.3,2.9,65.0
Trinidad and Tobago,1386,0.4727272727272727,1.0,2.3,1.0,2.3,71.21739130434783
Ecuador,1871,1.490909090909091,1.1,0.7,1.1,0.7,78.17391304347827
Guernsey,1500,1.7454545454545454,2.3,1.0,2.3,1.0,65.0
Togo,1379,1.6181818181818182,1.2,1.1,1.2,1.1,77.47826086956522
Corsica,1500,1.7555555555555555,1.1111111111111112,0.5555555555555556,1.1111111111111112,0.5555555555555556,65.0
Brittany,1500,1.709090909090909,1.3,1.4,1.3,1.4,65.0
Aruba,979,1.6545454545454545,1.5,1.9,1.5,1.9,65.0
Saudi Arabia,1596,0.8363636363636363,0.8,1.5,0.8,1.5,74.95652173913044
Cabo Verde,1619,0.8363636363636363,,,,,75.04347826086956
Ukraine,1780,1.6727272727272726,1.5,1.6,1.5,1.6,80.52173913043478
Lithuania,1279,0.6545454545454545,0.7,1.6,0.7,1.6,67.47826086956522
Colombia,2009,1.7454545454545454,,,,,83.34782608695652
Andorra,1080,0.6727272727272727,0.5,1.6,0.5,1.6,62.44444444444444
Grenada,1098,1.0909090909090908,1.7,2.1,1.7,2.1,68.52173913043478
Gozo,1500,1.2,2.6,1.4,2.6,1.4,65.0
Iraqi Kurdistan,1500,1.5272727272727273,2.3,0.9,2.3,0.9,65.0
Two Sicilies,1500,0.2857142857142857,0.5,3.0,0.5,3.0,65.0
Sudan,1350,0.6727272727272727,0.5,1.7,0.5,1.7,62.26086956521739
Palestine,1465,0.9454545454545454,0.5,0.9,0.5,0.9,66.55555555555556
Chad,1073,0.32727272727272727,0.8,2.1,0.8,2.1,64.88888888888889
Northern Mariana Islands,432,1.1636363636363636,1.0,4.4,1.0,4.4,65.0
Guam,706,0.7636363636363637,1.4,2.8,1.4,2.8,63.0
Saint Martin,1042,1.7454545454545454,1.7,1.7,1.7,1.7,65.0
Saint Barthélemy,1500,1.4363636363636363,2.5,3.0,2.5,3.0,65.0
Anguilla,646,0.8727272727272727,0.8,2.8,0.8,2.8,65.0
Congo,1207,0.34545454545454546,0.6,2.3,0.6,2.3,72.3913043478261
Liechtenstein,895,0.38181818181818183,0.3,3.3,0.3,3.3,70.0
Guinea,1463,1.0727272727272728,1.2,0.9,1.2,0.9,77.56521739130434
Mauritania,1329,0.9454545454545454,0.6,1.1,0.6,1.1,65.95652173913044
Morocco,1921,1.690909090909091,,,,,83.82608695652173
Equatorial Guinea,1380,0.6545454545454545,0.5,1.5,0.5,1.5,73.34782608695652
Eswatini,1148,0.43636363636363634,0.7,2.4,0.7,2.4,65.0
Ethiopia,1287,1.3818181818181818,1.2,1.4,1.2,1.4,62.92857142857143
Madagascar,1380,1.6363636363636365,1.7,1.9,1.7,1.9,72.08695652173913
Mayotte,1216,1.490909090909091,1.2,0.8,1.2,0.8,65.0
Saint Lucia,1003,0.5454545454545454,0.9,3.1,0.9,3.1,65.52941176470588
Antigua and Barbuda,895,0.2727272727272727,0.3,2.2,0.3,2.2,64.30434782608695
Comoros,1374,0.9454545454545454,0.8,1.5,0.8,1.5,72.08695652173913
San Marino,825,0.14545454545454545,0.5,3.7,0.5,3.7,65.0
Peru,1699,0.7454545454545455,0.8,1.7,0.8,1.7,78.34782608695652
Nicaragua,1333,0.5272727272727272,0.5,2.2,0.5,2.2,65.0
Guinea-Bissau,1248,0.6,0.6,1.7,0.6,1.7,65.0
Mauritius,1073,0.38181818181818183,0.6,1.5,0.6,1.5,65.33333333333333
Central African Republic,1236,0.8727272727272727,0.7,2.1,0.7,2.1,71.6086956521739
India,1128,0.2727272727272727,0.4,1.4,0.4,1.4,64.04347826086956
Burundi,1285,0.4727272727272727,0.6,1.4,0.6,1.4,64.52173913043478
Sierra Leone,1341,1.4727272727272727,1.1,1.1,1.1,1.1,71.17391304347827
Liberia,1304,1.1090909090909091,1.3,1.5,1.3,1.5,68.34782608695652
Belize,1073,0.9090909090909091,1.5,2.7,1.5,2.7,65.0
Saint Vincent and the Grenadines,1141,1.8363636363636364,2.6,1.1,2.6,1.1,65.0
French Guiana,1223,0.6727272727272727,1.7,1.5,1.7,1.5,65.0
Suriname,1431,1.0727272727272728,1.3,1.4,1.3,1.4,74.69565217391305
Iraq,1561,0.6545454545454545,0.7,1.9,0.7,1.9,69.04347826086956
British Virgin Islands,743,1.7272727272727273,1.7,1.5,1.7,1.5,65.0
Réunion,1500,1.4727272727272727,1.6,0.6,1.6,0.6,65.0
Saint Pierre and Miquelon,677,0.0,0.2857142857142857,11.142857142857142,0.2857142857142857,11.142857142857142,65.0
Tahiti,1177,1.4727272727272727,1.2,1.4,1.2,1.4,65.0
New Caledonia,1286,1.690909090909091,2.3,1.0,2.3,1.0,65.0
Barbados,898,0.6,1.2,2.3,1.2,2.3,54.0
Dominica,934,0.6181818181818182,0.7,1.8,0.7,1.8,65.0
Guyana,1292,2.5090909090909093,2.6,1.2,2.6,1.2,62.0
Cayman Islands,800,0.8909090909090909,0.9,2.4,0.9,2.4,65.0
Puerto Rico,1135,1.3636363636363635,1.1,1.9,1.1,1.9,61.04347826086956
Montserrat,972,0.7636363636363637,0.6,2.0,0.6,2.0,64.78260869565217
Taiwan,822,0.2727272727272727,1.4,2.9,1.4,2.9,66.77777777777777
Macao,589,0.07272727272727272,0.3,2.8,0.3,2.8,65.0
Philippines,1179,2.6545454545454548,2.9,1.1,2.9,1.1,70.6086956521739
Maldives,801,0.3090909090909091,0.6,2.0,0.6,2.0,65.0
Curaçao,1438,0.7272727272727273,1.5,2.1,1.5,2.1,71.47826086956522
Dominican Republic,1283,0.8181818181818182,1.0,1.6,1.0,1.6,66.78260869565217
Timor-Leste,734,0.38181818181818183,0.6,3.5,0.6,3.5,65.0
Laos,734,0.4727272727272727,1.1,2.9,1.1,2.9,65.0
Cambodia,871,1.3636363636363635,1.7,1.5,1.7,1.5,65.0
Cuba,1239,1.2727272727272727,1.0,1.9,1.0,1.9,68.47826086956522
Bonaire,817,0.5454545454545454,0.8,2.2,0.8,2.2,65.0
Afghanistan,961,0.6727272727272727,0.4,1.5,0.4,1.5,63.0
Somalia,979,0.7272727272727273,0.4,1.7,0.4,1.7,62.0
Zanzibar,1320,2.018181818181818,1.3,0.8,1.3,0.8,65.0
Catalonia,1500,1.6545454545454545,2.1,1.1,2.1,1.1,65.0
Basque Country,1500,2.2,2.2,0.7,2.2,0.7,65.0
Vanuatu,1117,1.6727272727272726,1.6,2.2,1.6,2.2,61.57142857142857
Mongolia,726,0.5454545454545454,0.5,2.4,0.5,2.4,65.0
Western Sahara,996,0.7555555555555555,1.7777777777777777,4.222222222222222,1.7777777777777777,4.222222222222222,65.0
Galicia,1500,1.2,1.3,2.1,1.3,2.1,65.0
Gibraltar,1011,1.4727272727272727,1.4,1.9,1.4,1.9,58.4
Nepal,893,0.509090909090909,0.7,1.1,0.7,1.1,65.0
Bhutan,623,0.23636363636363636,0.3,2.4,0.3,2.4,65.0
Pakistan,909,1.6727272727272726,0.8,1.5,0.8,1.5,65.0
Vatican City,1500,0.3888888888888889,0.75,2.625,0.75,2.625,65.0
Romani people,1500,0.6428571428571429,1.8571428571428572,3.7142857142857144,1.8571428571428572,3.7142857142857144,65.0
United States Virgin Islands,1500,1.1636363636363636,1.5,2.0,1.5,2.0,65.0
Rhodes,1500,1.9090909090909092,1.7,0.9,1.7,0.9,65.0
Greenland,945,1.0909090909090908,1.4,2.2,1.4,2.2,65.0
Menorca,1500,0.9090909090909091,1.8,1.2,1.8,1.2,65.0
Isle of Wight,1500,2.018181818181818,1.9,0.9,1.9,0.9,65.0
Ynys Môn,1500,2.5636363636363635,2.1,1.0,2.1,1.0,65.0
Gotland,1500,0.8727272727272727,2.9,1.9,2.9,1.9,65.0
Isle of Man,1500,2.1272727272727274,3.5,1.2,3.5,1.2,65.0
Falkland Islands,571,0.18181818181818182,0.7,3.3,0.7,3.3,65.0
Åland Islands,1500,0.9454545454545454,0.8,1.4,0.8,1.4,65.0
Saare County,1500,1.2363636363636363,1.6,2.1,1.6,2.1,65.0
Western Isles,1500,1.2181818181818183,1.1,1.9,1.1,1.9,65.0
Turks & Caicos Islands,657,1.2363636363636363,0.9,1.8,0.9,1.8,65.0
Bahamas,685,0.18181818181818182,1.2,3.9,1.2,3.9,65.0
Solomon Islands,1054,0.38181818181818183,1.6,2.9,1.6,2.9,65.0
